model,dataset,input_type,precision,recall,fscore,date
Logistic Regression,1,title,0.8137937932714052,0.8138715977849986,0.8128754432551901,2021/09/19 12:08:42
K Neighbors (k=3),1,title,0.755561372510525,0.7548143218189807,0.7532578137560344,2021/09/19 12:08:42
Linear SVM,1,title,0.8329362763342926,0.8333398582781975,0.8327023347430624,2021/09/19 12:08:42
RBF SVM,1,title,0.2409747292418772,0.5,0.3252131546894032,2021/09/19 12:08:42
Gaussian NB,1,title,0.716397688782626,0.7126022785107466,0.7126442819061626,2021/09/19 12:08:42
Gaussian Process,1,title,0.7392920675258667,0.7389326060194792,0.7376468475565958,2021/09/19 12:08:42
Decision Tree,1,title,0.7086016249692684,0.7066885034821455,0.7042489197124258,2021/09/19 12:08:42
Random Forest,1,title,0.8166011016108516,0.8114595431668602,0.8082199137541892,2021/09/19 12:08:42
Ada Boost,1,title,0.8018088106583682,0.8015024773040669,0.8002334418480717,2021/09/19 12:08:42
MLP Neural Net,1,title,0.8350394843804436,0.8346600721223906,0.8333260321861118,2021/09/19 12:08:42
QDA,1,title,0.2409747292418772,0.5,0.3252131546894032,2021/09/19 12:08:42
Logistic Regression,2,abstract,0.92118830829902,0.9210265440553056,0.921099065569582,2021/09/19 12:08:47
K Neighbors (k=3),2,abstract,0.9236661035441522,0.9187091023717906,0.919577377931313,2021/09/19 12:08:47
Linear SVM,2,abstract,0.912879930831989,0.912491575903824,0.9126456313934904,2021/09/19 12:08:47
RBF SVM,2,abstract,0.2572202166064982,0.5,0.3396901072705602,2021/09/19 12:08:47
Gaussian NB,2,abstract,0.9112523049090212,0.9111611121980911,0.9103486850322292,2021/09/19 12:08:47
Gaussian Process,2,abstract,0.6530925013683635,0.5304028348442358,0.4059640509768059,2021/09/19 12:08:47
Decision Tree,2,abstract,0.8634354726598703,0.8637383421378726,0.8633914071509914,2021/09/19 12:08:47
Random Forest,2,abstract,0.928941933520294,0.928941933520294,0.928941933520294,2021/09/19 12:08:47
Ada Boost,2,abstract,0.9176116589327146,0.917378638666058,0.9174788228118174,2021/09/19 12:08:47
MLP Neural Net,2,abstract,0.9252685173784884,0.9255027283201808,0.925352071863228,2021/09/19 12:08:47
QDA,2,abstract,0.2572202166064982,0.5,0.3396901072705602,2021/09/19 12:08:47
Logistic Regression,1+2,abstract,0.7934608782989759,0.7933338396468824,0.7933714446524228,2021/09/19 12:09:00
K Neighbors (k=3),1+2,abstract,0.8235182737062436,0.805870163123376,0.8018568966781048,2021/09/19 12:09:00
Linear SVM,1+2,abstract,0.7933597114157247,0.7933155761938602,0.7931437220693294,2021/09/19 12:09:00
RBF SVM,1+2,abstract,0.2466927239927841,0.5,0.3303805113750755,2021/09/19 12:09:00
Gaussian NB,1+2,abstract,0.813255161586052,0.8095573915449255,0.808335770661384,2021/09/19 12:09:00
Gaussian Process,1+2,abstract,0.6035067873303167,0.5155528672717113,0.3878398487040693,2021/09/19 12:09:00
